name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Serran cabrille,Comber,Serranus cabrilla,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Serranus_cabrilla.jpg/120px-Serranus_cabrilla.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Serranus_cabrilla.jpg/120px-Serranus_cabrilla.jpg,Serranus cabrilla,,2388710
Serran écriture,Painted comber,Serranus scriba,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Serran.JPG/120px-Serran.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Serran.JPG/120px-Serran.JPG,"Serran écriture, Perche de mer",,2388714
Serran hépate,Brown comber,Serranus hepatus,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Serran hépate,,2388724
Barbier,Sea Perch,Anthias anthias,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Anthias anthias,,2387915
Mérou méditerranéen,Dusky grouper,Epinephelus marginatus,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Mérou brun, mérou de Méditerranée, Mérou rouge",,2388507
Badèche,Goldblotch grouper,Epinephelus costae,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2388567
Mérou gris,Dogtooth grouper,Epinephelus caninus,,Serranidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2388133
Dorade,,Sparus aurata,,Sparidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Dorade.jpg/120px-Dorade.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Dorade.jpg/120px-Dorade.jpg,Sparus aurata · Daurade,,2392508
Sar,White seabream,Diplodus sargus,,Sparidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sar_commun.jpg/120px-Sar_commun.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sar_commun.jpg/120px-Sar_commun.jpg,Diplodus sargus,,5210968
Museau pointu,Porgy,Diplodus puntazzo,,Sparidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Diplodus_puntazzo_Guido_Picchetti.jpg/120px-Diplodus_puntazzo_Guido_Picchetti.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Diplodus_puntazzo_Guido_Picchetti.jpg/120px-Diplodus_puntazzo_Guido_Picchetti.jpg,Le Sar à museau pointu (Diplodus puntazzo) est une espèce de la famille des sparidés pouvant atteindre jusqu'à 60 cm de long. Il est présent en Atlantique Est et en Méditerranée.,,9777888
