name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Gobie tacheté,,Pomatoschistus microps,,Gobiidés,,,,,,,,,,,,,,,,,,Pomatoschistus microps,,
Gobie buhotte,,Pomatoschistus minutus,,Gobiidés,,,,,,,,,,,,,,,,,,"Pomatoschistus minutus, le Gobie des sables ou le Gobie buhotte, est une espèce de poissons marins appartenant à la grande famille des gobiidés.",,
Crapet de roche,,Ambloplites rupestris,,Centrarchidés,,,,,,,,,,,,,,,,,,Ambloplites rupestris,,
Œil de paon,,Centrarchus macropterus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Crapet rouge,,Lepomis auritus,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Perche soleil,,Lepomis gibbosus,,Centrarchidés,,,,,,,,,,,,,,,,,,"Crapet-soleil, Perche soleil",,
Crapet à longues oreilles,,Lepomis megalotis,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Achigan à petite bouche,,Micropterus dolomieu,,Centrarchidés,,,,,,,,,,,,,,,,,,"Achigan à petite bouche, black-bass à petite bouche",,
Achigan à grande bouche,,Micropterus salmoides,,Centrarchidés,,,,,,,,,,,,,,,,,,"L'Achigan à grande bouche (Micropterus salmoides), aussi appelé black-bass et parfois perche truitée, perche truite, perche d'Amérique ou perche noire, est une espèce de poissons d'eau douce de la famille des Centrarchidae originaire d'Amérique du Nord et introduite en Europe à la fin du XIXe siècle. C'est une espèce très recherchée et élevée pour la pêche de loisir.",,
Marigane blanche,,Pomoxis annularis,,Centrarchidés,,,,,,,,,,,,,,,,,,,,
Marigane noire,,Pomoxis nigromaculatus,,Centrarchidés,,,,,,,,,,,,,,,,,,"Pomoxis nigromaculatus, ou Marigane noire, est une espèce de poissons de la famille des Centrarchidae.",,
Bar commun,,Dicentrarchus labrax,,Moronidés,,,,,,,,,,,,,,,,,,Dicentrarchus labrax,,
Grémille,,Gymnocephalus cernuus,,Percidés,,,,,,,,,,,,,,,,,,Gymnocephalus cernua,,
Perche,,Perca fluviatilis,,Percidés,,,,,,,,,,,,,,,,,,Perca fluviatilis,,
Sandre,,Sander lucioperca,,Percidés,,,,,,,,,,,,,,,,,,Sander lucioperca,,
Apron du Rhône,,Zingel asper,,Percidés,,,,,,,,,,,,,,,,,,Zingel asper,,
Flet commun,,Platichthys flesus,,Pleuronectidés,,,,,,,,,,,,,,,,,,"Le Flet commun ou flet d'Europe (Platichthys flesus) est une espèce de poissons de la famille des Pleuronectidae (certains poissons plats tels que limandes, plies, flets et flétans).
D'autres espèces de poissons sont également appelées couramment flets.",,
